id,,imdb_title_id,title,original_title,year,genre,country,language,votes
97,,tt8408848,Más sabe el Diablo por Viejo,Más sabe el Diablo por Viejo,2018,Comedy,"Mexico, USA",Spanish,227
98,,tt8409924,Comment tuer sa mère,Comment tuer sa mère,2018,Comedy,France,French,121
99,,tt8413714,L'école est finie,L'école est finie,2018,Comedy,"France, Belgium","French, English",338
100,,tt8418000,Azraille Dans,Azraille Dans,2018,Comedy,Turkey,Turkish,512
101,,tt8435268,Single e disponibile,Soltera Codiciada,2018,Comedy,Peru,Spanish,1679
102,,tt8493514,Hedefim Sensin,Hedefim Sensin,2018,Comedy,Turkey,"Turkish, Italian",3336
103,,tt8495626,3 vakte kadar,3 vakte kadar,2018,Comedy,Turkey,Turkish,293
104,,tt8505540,Mazi ta fagame,Mazi ta fagame,2018,Comedy,Greece,Greek,103
105,,tt8514690,Ricchi di fantasia,Ricchi di fantasia,2018,Comedy,Italy,Italian,246
106,,tt8515750,Amici come prima,Amici come prima,2018,Comedy,Italy,Italian,431
107,,tt9472658,Politseyskiy s Rublyovki. Novogodniy bespredel,Politseyskiy s Rublyovki. Novogodniy bespredel,2018,Comedy,Russia,Russian,400
108,,tt9591082,"Tarp musu, mergaiciu","Tarp musu, mergaiciu",2018,Comedy,Lithuania,Lithuanian,107
109,,tt9652322,Chief Daddy,Chief Daddy,2018,Comedy,Nigeria,"English, Yoruba",172
110,,tt0069049,L'altra faccia del vento,The Other Side of the Wind,2018,Drama,"France, Iran, USA","English, German",5887
111,,tt0427543,A Million Little Pieces,A Million Little Pieces,2018,Drama,USA,English,1551
112,,tt10197354,Ikinci pärdä,Ikinci pärdä,2018,Drama,Azerbaijan,Azerbaijani,201
113,,tt1127881,Farming,Farming,2018,Drama,"UK, USA, France",English,888
114,,tt3892172,Senza lasciare traccia,Leave No Trace,2018,Drama,"USA, Canada",English,47559
115,,tt3960820,Land,Land,2018,Drama,"Italy, France, Netherlands, Mexico, Qatar",English,117
