id,id,imdb_title_id,title,original_title,year,genre,country,language,votes,,,,,
214,214,tt10740584,Abigail Haunting,Abigail Haunting,2020,Horror,USA,English,398,,,,,
215,215,tt10817348,Cupid,Cupid,2020,Horror,USA,English,1142,,,,,
216,216,tt10843814,The Candy Witch,The Candy Witch,2020,Horror,,,105,,,,,
217,217,tt10952782,Malasaña 32,Malasaña 32,2020,Horror,Spain,Spanish,1178,,,,,
218,218,tt11199514,The Haunting of Alcatraz,The Haunting of Alcatraz,2020,Horror,UK,English,111,,,,,
219,219,tt11240506,W lesie dzis nie zasnie nikt,W lesie dzis nie zasnie nikt,2020,Horror,Poland,Polish,1214,,,,,
220,220,tt11542194,Kaaal,Kaaal,2020,Horror,India,Marathi,486,,,,,
221,221,tt11547496,Camp Blood 8: Revelations,Camp Blood 8: Revelations,2020,Horror,USA,English,114,,,,,
222,222,tt11650674,Ouija Shark,Ouija Shark,2020,Horror,,English,297,,,,,
223,223,tt11743900,Cookie,Cookie,2020,Horror,India,Hindi,146,,,,,
224,224,tt11750282,Voces,Voces,2020,Horror,Spain,Spanish,112,,,,,
225,225,tt12142012,5G Zombies,5G Zombies,2020,Horror,,English,294,,,,,
226,226,tt12158538,Cry Havoc,Cry Havoc,2020,Horror,USA,English,136,,,,,
227,227,tt1964995,Penance Lane,Penance Lane,2020,Horror,USA,,828,,,,,
228,228,tt3155720,There's No Such Thing as Vampires,There's No Such Thing as Vampires,2020,Horror,USA,English,320,,,,,
229,229,tt5759590,Angels Fallen,Angels Fallen,2020,Horror,USA,English,835,,,,,
230,230,tt6844138,Coven,Coven,2020,Horror,USA,English,118,,,,,
231,231,tt7263040,La Marca del Demonio,La Marca del Demonio,2020,Horror,Mexico,Spanish,1633,,,,,
232,232,tt7335796,Behind You,Behind You,2020,Horror,USA,English,870,,,,,
233,233,tt7411112,The Clearing,The Clearing,2020,Horror,USA,English,429,,,,,
234,234,tt7445682,Star Light,Star Light,2020,Horror,USA,English,151,,,,,
235,235,tt8006374,Baba Yaga: Terror of the Dark Forest,Yaga. Koshmar tyomnogo lesa,2020,Horror,Russia,Russian,719,,,,,
236,236,tt8090624,The Millennial Killer,The Millennial Killer,2020,Horror,UK,English,183,,,,,
237,237,tt8150698,Dead by Dawn,Dead by Dawn,2020,Horror,USA,English,161,,,,,
238,238,tt8332802,Amulet,Amulet,2020,Horror,"UK, United Arab Emirates",English,1445,,,,,
239,239,tt8406660,Patients of a Saint,Patients of a Saint,2020,Horror,UK,English,1341,,,,,
240,240,tt8426182,A Nun's Curse,A Nun's Curse,2020,Horror,USA,,160,,,,,
241,241,tt9357288,Doll House,Doll House,2020,Horror,UK,English,185,,,,,
242,242,tt9612368,An English Haunting,An English Haunting,2020,Horror,UK,English,222,,,,,
243,243,tt11449072,Kartoffelsalat 3 - Das Musical,Kartoffelsalat 3 - Das Musical,2020,Musical,Germany,German,2374,,,,,
244,244,tt11157218,Valayam,Valayam,2020,Mystery,India,Telugu,104,,,,,
245,245,tt10420532,Ask Tesadüfleri Sever 2,Ask Tesadüfleri Sever 2,2020,Romance,Turkey,Turkish,325,,,,,
246,246,tt10991188,World Famous Lover,World Famous Lover,2020,Romance,India,Telugu,1433,,,,,
247,247,tt11024568,Savaari,Savaari,2020,Romance,India,Telugu,106,,,,,
248,248,tt11079540,The Will,The Will,2020,Romance,USA,English,352,,,,,
249,249,tt11173106,Sufna,Sufna,2020,Romance,India,Punjabi,1088,,,,,
250,250,tt11316854,Gabriel's Inferno,Gabriel's Inferno,2020,Romance,USA,,1561,,,,,
