imdb_title_id,title,original_title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,gross,gross_mil
tt4649416,Almost Christmas - Vacanze in famiglia,Almost Christmas,2016,"Comedy, Drama",111,"USA, China",English,David E. Talbert,David E. Talbert,Universal Pictures,"Danny Glover, Gabrielle Union, Mo'Nique, Kimberly Elise, Romany Malco, J.B. Smoove, Jessie T. Usher, John Michael Higgins, Nicole Ari Parker, Omar Epps, Nadej K. Bailey, Alkoya Brunson, Marley Taylor, D.C. Young Fly, Keri Hilson",6.1,5724,$ 17000000,,
tt4972582,Split,Split,2016,"Horror, Thriller",117,"USA, Japan",English,M. Night Shyamalan,M. Night Shyamalan,Universal Pictures,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson, Jessica Sula, Izzie Coffey, Brad William Henke, Sebastian Arcelus, Neal Huff, Ukee Washington, Ann Wood, Robert Michael Kelly, M. Night Shyamalan, Rosemary Howard, Jerome Gallman",7.3,408269,$ 9000000,,
tt6085872,Poveri ma ricchi,Poveri ma ricchi,2016,Comedy,90,Italy,Italian,Fausto Brizzi,"Fausto Brizzi, Marco Martani",Warner Bros.,"Christian De Sica, Enrico Brignano, Lucia Ocone, Lodovica Comello, Anna Mazzamauro, Ubaldo Pantani, Federica Lucaferri, Giulio Bartolomei, Giobbe Covatta, Gianmarco Tognazzi, Bebo Storti, Camila Raznovich, Clarida Armillei, Miloud Mourad Benamara, Alessandra Carrillo",6.1,1048,,,
tt0451279,Wonder Woman,Wonder Woman,2017,"Action, Adventure, Fantasy",141,"USA, China, Hong Kong","English, German, Dutch, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian",Patty Jenkins,"Allan Heinberg, Zack Snyder",Warner Bros.,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright, Danny Huston, David Thewlis, Saïd Taghmaoui, Ewen Bremner, Eugene Brave Rock, Lucy Davis, Elena Anaya, Lilly Aspell, Lisa Loven Kongsli, Ann Wolfe, Ann Ogbomo",7.4,535903,$ 149000000,822824000,822.82
tt0974015,Justice League,Justice League,2017,"Action, Adventure, Fantasy",120,"USA, Canada, UK","English, Irish, Russian, Icelandic",Zack Snyder,"Jerry Siegel, Joe Shuster",Warner Bros.,"Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ezra Miller, Jason Momoa, Ray Fisher, Jeremy Irons, Diane Lane, Connie Nielsen, J.K. Simmons, Ciarán Hinds, Amber Heard, Joe Morton, Lisa Loven Kongsli",6.3,371025,$ 300000000,657926000,657.93
tt1648190,La torre nera,The Dark Tower,2017,"Action, Adventure, Fantasy",95,USA,English,Nikolaj Arcel,"Akiva Goldsman, Jeff Pinkner",Columbia Pictures,"Matthew McConaughey, Idris Elba, Tom Taylor, Dennis Haysbert, Ben Gavin, Claudia Kim, Jackie Earle Haley, Fran Kranz, Abbey Lee, Katheryn Winnick, Nicholas Pauling, Michael Barbieri, José Zúñiga, Nicholas Hamilton, Inge Beckmann",5.6,123916,$ 60000000,113231000,113.23
tt1758810,L'uomo di neve,The Snowman,2017,"Crime, Drama, Mystery",119,"UK, USA, China, Sweden, Japan","English, Russian",Tomas Alfredson,"Peter Straughan, Hossein Amini",Universal Pictures,"Michael Fassbender, Rebecca Ferguson, Charlotte Gainsbourg, Jonas Karlsson, Michael Yates, Ronan Vibert, J.K. Simmons, Val Kilmer, David Dencik, Toby Jones, Genevieve O'Reilly, James D'Arcy, Jeté Laurence, Adrian Dunbar, Chloë Sevigny",5.1,56719,$ 35000000,43155000,43.16
tt1972591,King Arthur: Il potere della spada,King Arthur: Legend of the Sword,2017,"Action, Adventure, Drama",126,"UK, USA",English,Guy Ritchie,"Joby Harold, Guy Ritchie",Warner Bros.,"Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou, Eric Bana, Aidan Gillen, Freddie Fox, Craig McGinlay, Tom Wu, Kingsley Ben-Adir, Neil Maskell, Annabelle Wallis, Zac Barker, Oliver Barker, Geoff Bell",6.7,187078,$ 175000000,566652000,566.65
tt1981128,Geostorm,Geostorm,2017,"Action, Sci-Fi, Thriller",109,USA,"English, Cantonese, Russian, Hindi, Spanish",Dean Devlin,"Dean Devlin, Paul Guyot",Warner Bros.,"Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara, Daniel Wu, Eugenio Derbez, Amr Waked, Adepero Oduye, Andy Garcia, Ed Harris, Robert Sheehan, Richard Schiff, Mare Winningham, Zazie Beetz, Talitha Eliana Bateman",5.3,90841,$ 120000000,221600000,221.60
tt2039338,Flatliners: Linea mortale,Flatliners,2017,"Drama, Horror, Mystery",109,"USA, Canada",English,Niels Arden Oplev,"Peter Filardi, Ben Ripley",Columbia Pictures,"Ellen Page, Diego Luna, Nina Dobrev, James Norton, Kiersey Clemons, Kiefer Sutherland, Madison Brydges, Jacob Soley, Anna Arden, Miguel Anthony, Jenny Raven, Beau Mirchoff, Charlotte McKinney, Wendy Raquel Robinson, Steve Byers",5.2,40290,$ 19000000,45158000,45.16
tt2250912,Spider-Man: Homecoming,Spider-Man: Homecoming,2017,"Action, Adventure, Sci-Fi",133,USA,"English, Spanish",Jon Watts,"Jonathan Goldstein, John Francis Daley",Columbia Pictures,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau, Gwyneth Paltrow, Zendaya, Donald Glover, Jacob Batalon, Laura Harrier, Tony Revolori, Bokeem Woodbine, Tyne Daly, Abraham Attah, Hannibal Buress",7.4,494060,$ 175000000,880166000,880.17
tt2283362,Jumanji - Benvenuti nella giungla,Jumanji: Welcome to the Jungle,2017,"Action, Adventure, Comedy",119,"USA, India, Canada, UK, Australia, Germany",English,Jake Kasdan,"Chris McKenna, Erik Sommers",Columbia Pictures,"Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan, Rhys Darby, Bobby Cannavale, Nick Jonas, Alex Wolff, Ser'Darius Blain, Madison Iseman, Morgan Turner, Sean Buxton, Mason Guccione, Marin Hinkle, Tracey Bonner",6.9,308721,$ 90000000,962542000,962.54
tt2345759,La mummia,The Mummy,2017,"Action, Adventure, Fantasy",111,"USA, China, Japan","English, Egyptian (Ancient)",Alex Kurtzman,"David Koepp, Christopher McQuarrie",Universal Pictures,"Tom Cruise, Russell Crowe, Annabelle Wallis, Sofia Boutella, Jake Johnson, Courtney B. Vance, Marwan Kenzari, Simon Atherton, Stephen Thompson, James Arama, Matthew Wilkas, Sohm Kapila, Sean Cameron Michael, Rez Kempton, Erol Ismail",5.4,169130,$ 125000000,409230000,409.23
tt2398241,I Puffi: Viaggio nella foresta segreta,Smurfs: The Lost Village,2017,"Animation, Adventure, Comedy",90,"USA, Hong Kong, Canada",English,Kelly Asbury,"Stacey Harman, Pamela Ribon",Columbia Pictures,"Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer, Danny Pudi, Mandy Patinkin, Dee Bradley Baker, Frank Welker, Michelle Rodriguez, Ellie Kemper, Julia Roberts, Ariel Winter, Meghan Trainor, Bret Marnell, Brandon Jeffords",6,17800,$ 60000000,,
tt3731562,Kong: Skull Island,Kong: Skull Island,2017,"Action, Adventure, Fantasy",118,"USA, China","English, Vietnamese",Jordan Vogt-Roberts,"Dan Gilroy, Max Borenstein",Warner Bros.,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly, John Goodman, Corey Hawkins, John Ortiz, Tian Jing, Toby Kebbell, Jason Mitchell, Shea Whigham, Thomas Mann, Eugene Cordero, Marc Evan Jackson, Will Brittain",6.6,262000,$ 185000000,566652000,566.65
tt3829920,Fire Squad - Incubo di fuoco,Only the Brave,2017,"Action, Biography, Drama",134,USA,English,Joseph Kosinski,"Sean Flynn, Ken Nolan",Columbia Pictures,"Josh Brolin, Miles Teller, Jeff Bridges, Jennifer Connelly, James Badge Dale, Taylor Kitsch, Andie MacDowell, Geoff Stults, Alex Russell, Thad Luckinbill, Ben Hardy, Scott Haze, Jake Picking, Scott Foxx, Dylan Kenin",7.6,55080,$ 38000000,26351000,26.35
tt4465564,Cinquanta sfumature di nero,Fifty Shades Darker,2017,"Drama, Romance",118,"USA, China, Japan",English,James Foley,"Niall Leonard, E.L. James",Universal Pictures,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford, Bella Heathcote, Rita Ora, Luke Grimes, Victor Rasuk, Max Martini, Bruce Altman, Kim Basinger, Marcia Gay Harden, Andrew Airlie, Robinne Lee, Amy Price-Francis",4.6,89375,$ 55000000,381545000,381.55
tt4630562,Fast & Furious 8,The Fate of the Furious,2017,"Action, Adventure, Crime",136,"China, USA, Japan","English, Russian, Spanish",F. Gary Gray,"Gary Scott Thompson, Chris Morgan",Universal Pictures,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson, Ludacris, Charlize Theron, Kurt Russell, Nathalie Emmanuel, Luke Evans, Elsa Pataky, Kristofer Hivju, Scott Eastwood, Patrick St. Esprit, Janmarco Santiago",6.7,199388,$ 250000000,1236005000,1236.01
tt4877122,Emoji - Accendi le emozioni,The Emoji Movie,2017,"Animation, Adventure, Comedy",86,USA,"English, Spanish",Tony Leondis,"Tony Leondis, Eric Siegel",Columbia Pictures,"T.J. Miller, James Corden, Anna Faris, Maya Rudolph, Steven Wright, Jennifer Coolidge, Patrick Stewart, Christina Aguilera, Sofía Vergara, Rachael Ray, Sean Hayes, Jake T. Austin, Tati Gabrielle, Jude Kouyate, Jeffrey Ross",3.3,54055,$ 50000000,217776000,217.78
tt5052448,Scappa - Get Out,Get Out,2017,"Horror, Mystery, Thriller",104,"USA, Japan",English,Jordan Peele,Jordan Peele,Universal Pictures,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones, Marcus Henderson, Betty Gabriel, LaKeith Stanfield, Stephen Root, Lil Rel Howery, Ashley LeConte Campbell, John Wilmot, Caren L. Larkey, Julie Ann Doan, Rutherford Cravens",7.7,472430,$ 4500000,255589000,255.59
tt5084170,L'immortale,Mugen no jûnin,2017,"Action, Drama",140,"Japan, UK, South Korea",Japanese,Takashi Miike,"Hiroaki Samura, Tetsuya Oishi",Warner Bros.,"Takuya Kimura, Hana Sugisaki, Sôta Fukushi, Hayato Ichihara, Erika Toda, Kazuki Kitamura, Chiaki Kuriyama, Shinnosuke Mitsushima, Ken Kaneko, Yôko Yamamoto, Ebizô Ichikawa, Seizô Fukumoto, Min Tanaka, Masayuki Deai, Tsutomu Yamazaki",6.8,14499,,,
tt5308322,Auguri per la tua morte,Happy Death Day,2017,"Horror, Mystery, Thriller",96,USA,English,Christopher Landon,Scott Lobdell,Universal Pictures,"Jessica Rothe, Israel Broussard, Ruby Modine, Charles Aitken, Laura Clifton, Jason Bayle, Rob Mello, Rachel Matthews, Ramsey Anderson, Brady Lewis, Phi Vu, Tenea Intriago, Blaine Kern III, Cariella Smith, Jimmy Gonzales",6.6,110766,$ 4800000,125479000,125.48
tt5442430,Life: Non oltrepassare il limite,Life,2017,"Horror, Sci-Fi, Thriller",104,"UK, USA","English, Japanese, Vietnamese",Daniel Espinosa,"Rhett Reese, Paul Wernick",Columbia Pictures,"Hiroyuki Sanada, Ryan Reynolds, Rebecca Ferguson, Jake Gyllenhaal, Olga Dykhovichnaya, Ariyon Bakare, Jesus Del Orden, Allen McLean, Leila Grace, Mari Gvelesiani, David Muir, Elizabeth Vargas, Camiel Warren-Taylor, Haruka Kuroda, Naoko Mori",6.6,202381,$ 58000000,100541000,100.54
tt5538704,Bullyparade: Der Film,Bullyparade: Der Film,2017,Comedy,100,Germany,German,Michael Herbig,"Alfons Biedermann, Michael Herbig",Warner Bros.,"Michael Herbig, Christian Tramitz, Rick Kavanian, Sky du Mont, Alexander Schubert, Cornelia Ivancan, Ivanka Brekalo, Robert Alan Packard, Rahul Chakraborty, Diana Herold, Valentina Zell, Larimar López Arcos, María Del Pilar Gómez, Vincente Raul Gonzalez, Laurence Burton",4.9,2860,,,
tt5723272,Oltre la notte,Aus dem Nichts,2017,"Crime, Drama, Thriller",106,"Germany, France","German, Greek, English, Turkish",Fatih Akin,"Fatih Akin, Hark Bohm",Warner Bros.,"Numan Acar, Adam Bousdoukos, Diane Kruger, Denis Moschitto, Samia Muriel Chancrin, Torsten Lemke, Rafael Santana, Cem Akin, Hanna Hilsdorf, Anke Opp, Ina Neerfeld, Laurens Walter, Angélique Mundt, Karin Neuhäuser, Uwe Rohde",7.1,27671,,,
tt6148766,Pure Country Pure Heart,Pure Country Pure Heart,2017,"Drama, Music",84,USA,,Damon Santostefano,Holly Goldberg Sloan,Warner Bros.,"Laura Bell Bundy, Ronny Cox, Amanda Detmer, Willie Nelson, Cozi Zuehlsdorff, Shawn Michaels, Matthew Barnes, Myra Turley, Lawrence Turner, Kaitlyn Bausch, Patti Brindley, Jerri Tubbs, Dara Sisterhen, Elton LeBlanc, David Shiflett",6.3,222,,,
tt1213641,First Man - Il primo uomo,First Man,2018,"Biography, Drama, History",141,"USA, Japan",English,Damien Chazelle,"Josh Singer, James R. Hansen",Universal Pictures,"Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler, Corey Stoll, Patrick Fugit, Christopher Abbott, Ciarán Hinds, Olivia Hamilton, Pablo Schreiber, Shea Whigham, Lukas Haas, Ethan Embry, Brian d'Arcy James, Cory Michael Smith",7.3,159476,$ 59000000,105713000,105.71
